Hash,kingdom,phylum,class,order,family,genus,species,max_pident
92bd795ae36779e25ccda562769d30dfb0ca583c,Metazoa,Arthropoda,Malacostraca,Amphipoda,Valettiopsidae,Valettietta,Valettietta cf. anacantha AB1-AMP4,80.783
ed83c876fe70a93b33ed78adb4e9f1137173e387,NA,Rhodophyta,Florideophyceae,Acrosymphytales,Acrothesauraceae,Acrothesaurum,Acrothesaurum gemellifilum,98.734
1e1cbeabaa69e490324bb50a47b3225fd9f663a9,NA,NA,NA,NA,NA,NA,NA,86.275
f1e8b4ba08ada155f8493a00216da5d9d8a7297c,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Thoracoplites,Thoracoplites sp. 1 JLM-2017,86.722
403f7993d5a44d735a0b421a3796f6de358eda0e,Metazoa,Chordata,Mammalia,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,79.07
894db39f7f4dd05d5ab0cbdf6683aa400ac920d0,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Laelaps,Laelaps muricola,90.354
4ecd3860f1b2da0088f40a8bdf7a27f9a950380d,NA,Rhodophyta,Florideophyceae,Acrosymphytales,Acrothesauraceae,Acrothesaurum,Acrothesaurum gemellifilum,97.785
37f4ef06bbeaf9f86f3c4c3f83400cf5ceb43bce,NA,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus piranensis,83.854
a43aaed270879bd7f47acbf325fe3a58f416bdd5,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 140616W15,94.249
b51e27528adfc506e10ef98450a5377d11ee3424,Metazoa,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Caulophacus,Caulophacus weddelli,80.872
e7bb0eada421cb118ec2c103e4393eeaa3bc9191,NA,NA,NA,NA,NA,NA,NA,88.194
eedfa86ef21c592c9c2edafb51ff4043a48894da,NA,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium sp. JN-1,82.77
f8ba8e163afeef61bc8ee87d1e117aceac18ce33,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma sp. ANIC12,80.695
436520cdd632b17e925afdae4087564529a13df7,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Thoracoplites,Thoracoplites sp. 1 JLM-2017,85.552
5b5ecf846b4966ca8d76377824220ce22a64298d,Metazoa,Arthropoda,Malacostraca,Amphipoda,Valettiopsidae,Valettietta,Valettietta cf. anacantha AB1-AMP4,82.011
f1eceeebd477b8906642e4ad6f58b9a2bb86e8ba,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Siansivirga,Siansivirga zeaxanthinifaciens,83.043
183f21df179e940699766583004f87f0e68b01e6,NA,Rhodophyta,Florideophyceae,Corallinales,Spongitidaceae,Spongites,Spongites sp. AR-2015,81.048
aa0fababe8b0af9f144a14e71bfd7df777ffbaf3,NA,NA,NA,NA,NA,NA,NA,78.621
1d77d3373671dea2448c14acbb87f7d4fca61f31,NA,Rhodophyta,Florideophyceae,Acrosymphytales,Acrothesauraceae,Acrothesaurum,Acrothesaurum gemellifilum,99.051
e4cb33387e3d1b0ad15ab781e9fe4a4b9d2b8279,NA,Rhodophyta,Florideophyceae,Hapalidiales,Mesophyllumaceae,Mesophyllum,Mesophyllum sp. 4 CP-2018,84.682
f036062a0637b91ec05d05f40fd23914806fce4e,NA,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium sp. JN-1,83.28
9ef6a49a8739e8b74d92fbf72e8d8369c0b69ef3,Metazoa,Arthropoda,Malacostraca,Amphipoda,Valettiopsidae,Valettietta,Valettietta cf. anacantha AB1-AMP4,91.873
61eae644abf0141da7db5cd5597786614c7ef9ce,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Laelaps,Laelaps muricola,92.308
66ad9218c82a2f8a34f4cb14ce3396668df8e7bc,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,NA,Agromyzidae sp. BOLD:ACP8639,86.348
055458e3eaff087acd3f6d7a61193c0ec38c15bb,NA,Rhodophyta,Florideophyceae,Hapalidiales,Mesophyllumaceae,Mesophyllum,Mesophyllum sp. 4 CP-2018,82.67
a97d256b9a09f98a6849369fdfe9e7c1490120d0,NA,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis sp. 1rangiferina,98.722
ef8050f878f61ec80c737c63161106d3a6984073,Metazoa,NA,NA,NA,NA,NA,NA,81.29
f40dc6b09fd1e22b9376cfe0c3aef2ab64ee4a5f,Metazoa,Arthropoda,Malacostraca,Amphipoda,Valettiopsidae,Valettietta,Valettietta cf. anacantha AB1-AMP4,92.226
526b5e215880a58a5bbb47afb13d9e292cc2545b,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia latirostris,81.47
4fb04307e3196142d6403982524cd0c77fd599a6,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Distichopora,Distichopora violacea,76.761
6763675ee0f772f1af9e51a643520a9677d38fec,NA,NA,NA,NA,NA,NA,NA,93.93
