sample,value,step,direction,file,Step
Pv_SRT_046-26_s_11,65090,ASV,Both,Both,ASV
Pv_SRT_046-49_s_12,132800,ASV,Both,Both,ASV
Pv_SSNd_H044-01642_s_45,107416,ASV,Both,Both,ASV
Pv_SSNd_H044-01643_s_46,55021,ASV,Both,Both,ASV
Pv_SSNd_H044-01645_s_47,45194,ASV,Both,Both,ASV
Pv_Sw_11_s_05,57479,ASV,Both,Both,ASV
Pv_Sw_9_s_04,55671,ASV,Both,Both,ASV
Gb_BS_imp_15O4_s_31_R1_filt.fastq.gz,17207,Tabled,Both,Both,FUSION
Gb_BS_imp_18R6_s_38_R1_filt.fastq.gz,37053,Tabled,Both,Both,FUSION
Gb_BS_imp_23W4_s_37_R1_filt.fastq.gz,28453,Tabled,Both,Both,FUSION
Gb_BS_imp_9I4_s_39_R1_filt.fastq.gz,21578,Tabled,Both,Both,FUSION
Gb_BS_unimp_14N5_s_41_R1_filt.fastq.gz,52783,Tabled,Both,Both,FUSION
Gb_BS_unimp_3C6_s_43_R1_filt.fastq.gz,24373,Tabled,Both,Both,FUSION
Gb_BS_unimp_4D2_s_40_R1_filt.fastq.gz,22554,Tabled,Both,Both,FUSION
Gb_BS_unimp_6F4_s_42_R1_filt.fastq.gz,33477,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.1_d_69_R1_filt.fastq.gz,53043,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.2_d_70_R1_filt.fastq.gz,47496,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.3_d_71_R1_filt.fastq.gz,32555,Tabled,Both,Both,FUSION
Gb_Can_S_15O6_d_75_R1_filt.fastq.gz,21629,Tabled,Both,Both,FUSION
Gb_Can_S_16P6_s_55_R1_filt.fastq.gz,117717,Tabled,Both,Both,FUSION
Gb_Can_S_17Q3_d_77_R1_filt.fastq.gz,48861,Tabled,Both,Both,FUSION
Gb_Can_S_23W6_d_78_R1_filt.fastq.gz,18173,Tabled,Both,Both,FUSION
Gb_Can_S_2B6_d_76_R1_filt.fastq.gz,31889,Tabled,Both,Both,FUSION
Gb_Can_S_5E2_s_44_R1_filt.fastq.gz,54791,Tabled,Both,Both,FUSION
Gb_Can_S_8H6_s_54_R1_filt.fastq.gz,39836,Tabled,Both,Both,FUSION
Gb_FS_MPA_14N4_s_50_R1_filt.fastq.gz,25288,Tabled,Both,Both,FUSION
Gb_FS_MPA_20T6_s_49_R1_filt.fastq.gz,30715,Tabled,Both,Both,FUSION
Gb_FS_MPA_22V2_s_51_R1_filt.fastq.gz,40083,Tabled,Both,Both,FUSION
Gb_NOR_17Q2_s_01_R1_filt.fastq.gz,50819,Tabled,Both,Both,FUSION
Gb_NOR_18R2_s_02_R1_filt.fastq.gz,35691,Tabled,Both,Both,FUSION
Gb_NOR_1A7_s_03_R1_filt.fastq.gz,28512,Tabled,Both,Both,FUSION
Gb_NwK_12L5_s_27_R1_filt.fastq.gz,25691,Tabled,Both,Both,FUSION
Gb_NwK_21U5_s_28_R1_filt.fastq.gz,29235,Tabled,Both,Both,FUSION
Gb_OK_289_d_02_R1_filt.fastq.gz,32928,Tabled,Both,Both,FUSION
Gb_RSB_MPA_13M4_d_74_R1_filt.fastq.gz,17831,Tabled,Both,Both,FUSION
Gb_RSB_MPA_13M5_d_72_R1_filt.fastq.gz,24371,Tabled,Both,Both,FUSION
Gb_RSB_MPA_18R4_d_73_R1_filt.fastq.gz,27178,Tabled,Both,Both,FUSION
Gb_SRT_1A5_s_23_R1_filt.fastq.gz,52204,Tabled,Both,Both,FUSION
Gb_SRT_8H5_s_22_R1_filt.fastq.gz,44453,Tabled,Both,Both,FUSION
Gb_Sva_20T5_s_25_R1_filt.fastq.gz,24125,Tabled,Both,Both,FUSION
Gb_Sva_7G6_s_26_R1_filt.fastq.gz,22613,Tabled,Both,Both,FUSION
Gb_Sw_15O5_s_21_R1_filt.fastq.gz,56580,Tabled,Both,Both,FUSION
Gb_Sw_22V6_s_06_R1_filt.fastq.gz,48098,Tabled,Both,Both,FUSION
Gh_Can_M_Trip8-75.5_d_66_R1_filt.fastq.gz,41648,Tabled,Both,Both,FUSION
Gh_Can_M_Trip8-75.7_d_67_R1_filt.fastq.gz,51509,Tabled,Both,Both,FUSION
