sample,short_ID,Site,biogeographic,lat,lon,depth(m),MPA,month,year,Host_name
Gb_BS_imp_15O4_s_31,Gb.83,Barents Sea,Arctic,71.58797,21.37533,333,No MPA,March,2017,Geodia barretti
Gb_BS_imp_18R6_s_38,Gb.84,Barents Sea,Arctic,71.58797,21.37533,333,No MPA,March,2017,Geodia barretti
Gb_BS_imp_23W4_s_37,Gb.85,Barents Sea,Arctic,71.58797,21.37533,333,No MPA,March,2017,Geodia barretti
Gb_BS_imp_9I4_s_39,Gb.50,Barents Sea,Arctic,71.58797,21.37533,333,No MPA,March,2017,Geodia barretti
Gb_BS_unimp_14N5_s_41,Gb.86,Barents Sea,Arctic,71.396,16.810333,333,No MPA,March,2017,Geodia barretti
Gb_BS_unimp_3C6_s_43,Gb.87,Barents Sea,Arctic,71.396,16.810333,333,No MPA,March,2017,Geodia barretti
Gb_BS_unimp_4D2_s_40,Gb.88,Barents Sea,Arctic,71.396,16.810333,333,No MPA,March,2017,Geodia barretti
Gb_BS_unimp_6F4_s_42,Gb.89,Barents Sea,Arctic,71.396,16.810333,333,No MPA,March,2017,Geodia barretti
Gb_Can_M_Trip8-75.1_d_69,Gb.31,Paamiut,North Atlantic Boreal,66.80795,-58.667383,903,No MPA,October,2016,Geodia barretti
Gb_Can_M_Trip8-75.2_d_70,Gb.32,Paamiut,North Atlantic Boreal,66.80795,-58.667383,903,No MPA,October,2016,Geodia barretti
Gb_Can_M_Trip8-75.3_d_71,Gb.33,Paamiut,North Atlantic Boreal,66.80795,-58.667383,903,No MPA,October,2016,Geodia barretti
Gb_Can_S_15O6_d_75,Gb.34,Davis Strait,North Atlantic Boreal,62.5184,-59.9705,1332,No MPA,October,2014,Geodia barretti
Gb_Can_S_16P6_s_55,Gb.35,Davis Strait,North Atlantic Boreal,62.56012,-61.3943,568,No MPA,October,2014,Geodia barretti
Gb_Can_S_17Q3_d_77,Gb.36,Davis Strait,North Atlantic Boreal,62.0539,-60.0918,1427,No MPA,October,2014,Geodia barretti
Gb_Can_S_23W6_d_78,Gb.37,Davis Strait,North Atlantic Boreal,61.8989,-60.1364,1440,No MPA,October,2014,Geodia barretti
Gb_Can_S_2B6_d_76,Gb.38,Davis Strait,North Atlantic Boreal,62.0539,-60.0918,1427,No MPA,October,2014,Geodia barretti
Gb_Can_S_5E2_s_44,Gb.39,Davis Strait,North Atlantic Boreal,62.19923,-61.2192,483,No MPA,October,2014,Geodia barretti
Gb_Can_S_8H6_s_54,Gb.40,Davis Strait,North Atlantic Boreal,63.26382,-60.3552,536,No MPA,October,2014,Geodia barretti
Gb_FS_MPA_14N4_s_50,Gb.1,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Geodia barretti
Gb_FS_MPA_20T6_s_49,Gb.2,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Geodia barretti
Gb_FS_MPA_22V2_s_51,Gb.3,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Geodia barretti
Gb_NOR_17Q2_s_01,Gb.55,Norway,NE Atlantic,62.90375,6.87745,38,No MPA,August,2018,Geodia barretti
Gb_NOR_18R2_s_02,Gb.56,Norway,NE Atlantic,62.9033,6.8774,39,No MPA,August,2018,Geodia barretti
Gb_NOR_1A7_s_03,Gb.57,Norway,NE Atlantic,62.90375,6.87745,39,No MPA,August,2018,Geodia barretti
Gb_NwK_12L5_s_27,Gb.58,Norway,NE Atlantic,60.166667,5.175,225,No MPA,August,2018,Geodia barretti
Gb_NwK_21U5_s_28,Gb.59,Norway,NE Atlantic,60.166667,5.175,225,No MPA,August,2018,Geodia barretti
Gb_OK_289_d_02,Gb.97,Orphan Knoll,Open NW Atlantic,50.04158,-45.3794,2745,No MPA,August,2018,Geodia barretti
Gb_RSB_MPA_13M4_d_74,Gb.4,W Rosemary bank,NE Atlantic,59.12883,-10.8078,1304,MPA,September,2016,Geodia barretti
Gb_RSB_MPA_13M5_d_72,Gb.5,W Rosemary bank,NE Atlantic,59.12883,-10.8078,1304,MPA,September,2016,Geodia barretti
Gb_RSB_MPA_18R4_d_73,Gb.6,W Rosemary bank,NE Atlantic,59.12883,-10.8078,1304,MPA,September,2016,Geodia barretti
Gb_SRT_1A5_s_23,Gb.60,Sula Reef,NE Atlantic,63.586117,9.84555,191,No MPA,September,2018,Geodia barretti
Gb_SRT_8H5_s_22,Gb.61,Sula Reef,NE Atlantic,63.586117,9.84555,191,No MPA,September,2018,Geodia barretti
Gb_Sva_20T5_s_25,Gb.7,Svalbard,Arctic,80.5385,15.3616,215,No MPA,September,2016,Geodia barretti
Gb_Sva_7G6_s_26,Gb.51,Svalbard,Arctic,80.53853,15.36161,215,No MPA,September,2011,Geodia barretti
Gb_Sw_15O5_s_21,Gb.62,Sweden,NE Atlantic,58.885,11.100667,89.3,NA,September,2018,Geodia barretti
Gb_Sw_22V6_s_06,Gb.63,Sweden,NE Atlantic,58.883833,11.0945,89.7,NA,September,2018,Geodia barretti
Gh_Can_M_Trip8-75.5_d_66,Gh.41,Paamiut,North Atlantic Boreal,66.80795,-58.6674,903,No MPA,October,2016,Geodia hentscheli
Gh_Can_M_Trip8-75.7_d_67,Gh.42,Paamiut,North Atlantic Boreal,66.80795,-58.6674,903,No MPA,October,2016,Geodia hentscheli
Gh_Can_M_Trip8-75.8_d_68,Gh.43,Paamiut,North Atlantic Boreal,66.80795,-58.6674,903,No MPA,October,2016,Geodia hentscheli
Gh_Ice_A11-641-B_s_25,Gh.44,Iceland,North Atlantic Boreal,66.63883,-12.7558,308.5,No MPA,July,2011,Geodia hentscheli
Gh_Ice_ME85-3-1123-2-C_d_59,Gh.45,Iceland,North Atlantic Boreal,67.214,-26.1992,723.35,No MPA,November,2011,Geodia hentscheli
Gh_Ice_ME85-3-1123-B_d_60,Gh.46,Iceland,North Atlantic Boreal,67.214,-26.1992,723.35,No MPA,November,2011,Geodia hentscheli
Gh_Ice_ME85-3-1132-A_s_32,Gh.64,Iceland,North Atlantic Boreal,67.644167,-26.762778,316.8,No MPA,November,2011,Geodia hentscheli
Gh_JMR_DR01-A_d_87,Gh.65,Jan Mayen Ridge,Arctic,68.2768,-8.819067,1107.5,NA,November,2019,Geodia hentscheli
Gh_JMR_DR01-B_d_88,Gh.66,Jan Mayen Ridge,Arctic,68.2768,-8.819067,1107.5,NA,November,2019,Geodia hentscheli
Gh_JMR_DR01-C_d_89,Gh.67,Jan Mayen Ridge,Arctic,68.2768,-8.819067,1107.5,NA,November,2019,Geodia hentscheli
Gh_JMR_DR05-1-A_s_85,Gh.68,Jan Mayen Ridge,Arctic,68.2768,-8.819067,910.5,NA,November,2019,Geodia hentscheli
Gh_JMR_DR05-1-B_s_86,Gh.69,Jan Mayen Ridge,Arctic,68.2768,-8.819067,910.5,NA,November,2019,Geodia hentscheli
Gh_JMR-SM_AGT03-26_d_93,Gh.47,Mohn,Arctic,71.30333,-5.28733,1848.5,No MPA,July,2014,Geodia hentscheli
Gh_KS_193.1_d_79,Gh.90,Karassik Seamount,Arctic,86.858333,61.546833,822.5,NA,January,2018,Geodia hentscheli
Gh_KS_193.2_d_81,Gh.91,Karassik Seamount,Arctic,86.858333,61.546833,822.5,NA,January,2018,Geodia hentscheli
Gh_KS_197.1_s_57,Gh.92,Karassik Seamount,Arctic,86.858333,61.546833,648,NA,January,2018,Geodia hentscheli
Gh_KS_200.5_s_58,Gh.93,Karassik Seamount,Arctic,86.858333,61.546833,648,NA,January,2018,Geodia hentscheli
Gh_OK_293_d_01,Gh.100,Orphan Knoll,Open NW Atlantic,50.04158,-45.3794,2745,NA,September,2014,Geodia hentscheli
Gh_SM_AGT07-22.10_s_28,Gh.70,Schultz Massif,Arctic,73.826667,7.546667,580,NA,September,2014,Geodia hentscheli
Gh_SM_AGT07-22.2_s_56,Gh.71,Schultz Massif,Arctic,73.826667,7.546667,580,NA,September,2014,Geodia hentscheli
Gh_SM_AGT07-22.3_s_27,Gh.72,Schultz Massif,Arctic,73.826667,7.546667,580,NA,September,2014,Geodia hentscheli
Gh_SM_ROV12-11.2_d_29,Gh.73,Schultz Massif,Arctic,73.7905,6.853167,2959,NA,September,2014,Geodia hentscheli
Gh_SM_ROV19-11_d_30,Gh.74,Schultz Massif,Arctic,73.7905,6.853167,1893,NA,September,2014,Geodia hentscheli
Gh_Sva_100_d_82,Gh.94,Svalbard,Arctic,78.5837,8.7401,1011,No MPA,November,2019,Geodia hentscheli
Gh_Sva_101_d_84,Gh.95,Svalbard,Arctic,78.5837,8.7401,1011,No MPA,December,2020,Geodia hentscheli
